"","tool","run","parameter","moment","value"
"3268","nm7",70,"OMEGA1.1","se",NA
"3269","nm7",70,"OMEGA2.1","estimate","0"
"3270","nm7",70,"OMEGA2.1","prse",NA
"3271","nm7",70,"OMEGA2.1","se",NA
"3272","nm7",70,"OMEGA2.2","estimate","0.204137"
"3273","nm7",70,"OMEGA2.2","prse",NA
"3274","nm7",70,"OMEGA2.2","se",NA
"3275","nm7",70,"OMEGA3.1","estimate","0"
"3276","nm7",70,"OMEGA3.1","prse",NA
"3277","nm7",70,"OMEGA3.1","se",NA
"3278","nm7",70,"OMEGA3.2","estimate","0"
"3279","nm7",70,"OMEGA3.2","prse",NA
"3280","nm7",70,"OMEGA3.2","se",NA
"3281","nm7",70,"OMEGA3.3","estimate","0.149061"
"3282","nm7",70,"OMEGA3.3","prse",NA
"3283","nm7",70,"OMEGA3.3","se",NA
"3284","nm7",70,"SIGMA1.1","estimate","0.0713668"
"3285","nm7",70,"SIGMA1.1","prse",NA
"3286","nm7",70,"SIGMA1.1","se",NA
"3287","nm7",70,"cov","status","0"
"3288","nm7",70,"prob","text","70 phase1 2 CMT like 1004 but diff. initial on V3"
"3289","nm7",70,"min","status","0"
"3290","nm7",70,"data","filename","../data/70.csv"
"3291","nm7",71,"ofv","minimum","2622.5831678754"
"3292","nm7",71,"THETA1","estimate","8.00223"
"3293","nm7",71,"THETA1","prse",NA
"3294","nm7",71,"THETA1","se",NA
"3295","nm7",71,"THETA2","estimate","19.7759"
"3296","nm7",71,"THETA2","prse",NA
"3297","nm7",71,"THETA2","se",NA
"3298","nm7",71,"THETA3","estimate","0.0691707"
"3299","nm7",71,"THETA3","prse",NA
"3300","nm7",71,"THETA3","se",NA
"3301","nm7",71,"THETA4","estimate","3.61695"
"3302","nm7",71,"THETA4","prse",NA
"3303","nm7",71,"THETA4","se",NA
"3304","nm7",71,"THETA5","estimate","104.803"
"3305","nm7",71,"THETA5","prse",NA
"3306","nm7",71,"THETA5","se",NA
"3307","nm7",71,"THETA6","estimate","0.900432"
"3308","nm7",71,"THETA6","prse",NA
"3309","nm7",71,"THETA6","se",NA
"3310","nm7",71,"THETA7","estimate","1.4972"
"3311","nm7",71,"THETA7","prse",NA
"3312","nm7",71,"THETA7","se",NA
"3313","nm7",71,"OMEGA1.1","estimate","0.140776"
"3314","nm7",71,"OMEGA1.1","prse",NA
"3315","nm7",71,"OMEGA1.1","se",NA
"3316","nm7",71,"OMEGA2.1","estimate","0"
"3317","nm7",71,"OMEGA2.1","prse",NA
"3318","nm7",71,"OMEGA2.1","se",NA
"3319","nm7",71,"OMEGA2.2","estimate","0.104624"
"3320","nm7",71,"OMEGA2.2","prse",NA
"3321","nm7",71,"OMEGA2.2","se",NA
"3322","nm7",71,"OMEGA3.1","estimate","0"
"3323","nm7",71,"OMEGA3.1","prse",NA
"3324","nm7",71,"OMEGA3.1","se",NA
"3325","nm7",71,"OMEGA3.2","estimate","0"
"3326","nm7",71,"OMEGA3.2","prse",NA
"3327","nm7",71,"OMEGA3.2","se",NA
"3328","nm7",71,"OMEGA3.3","estimate","0.164001"
"3329","nm7",71,"OMEGA3.3","prse",NA
"3330","nm7",71,"OMEGA3.3","se",NA
"3331","nm7",71,"SIGMA1.1","estimate","0.0692586"
"3332","nm7",71,"SIGMA1.1","prse",NA
"3333","nm7",71,"SIGMA1.1","se",NA
"3334","nm7",71,"cov","status","0"
"3335","nm7",71,"prob","text","71 phase1 2 CMT like 1004 but diff. initial on V3"
"3336","nm7",71,"min","status","0"
"3337","nm7",71,"data","filename","../data/71.csv"
"3338","nm7",72,"ofv","minimum","2627.90138088065"
"3339","nm7",72,"THETA1","estimate","9.70379"
"3340","nm7",72,"THETA1","prse",NA
"3341","nm7",72,"THETA1","se",NA
"3342","nm7",72,"THETA2","estimate","22.99"
"3343","nm7",72,"THETA2","prse",NA
"3344","nm7",72,"THETA2","se",NA
"3345","nm7",72,"THETA3","estimate","0.0717615"
"3346","nm7",72,"THETA3","prse",NA
"3347","nm7",72,"THETA3","se",NA
"3348","nm7",72,"THETA4","estimate","4.65495"
"3349","nm7",72,"THETA4","prse",NA
"3350","nm7",72,"THETA4","se",NA
"3351","nm7",72,"THETA5","estimate","107.051"
"3352","nm7",72,"THETA5","prse",NA
"3353","nm7",72,"THETA5","se",NA
"3354","nm7",72,"THETA6","estimate","0.641902"
"3355","nm7",72,"THETA6","prse",NA
"3356","nm7",72,"THETA6","se",NA
"3357","nm7",72,"THETA7","estimate","2.11276"
"3358","nm7",72,"THETA7","prse",NA
"3359","nm7",72,"THETA7","se",NA
"3360","nm7",72,"OMEGA1.1","estimate","0.131287"
"3361","nm7",72,"OMEGA1.1","prse",NA
"3362","nm7",72,"OMEGA1.1","se",NA
"3363","nm7",72,"OMEGA2.1","estimate","0"
"3364","nm7",72,"OMEGA2.1","prse",NA
"3365","nm7",72,"OMEGA2.1","se",NA
"3366","nm7",72,"OMEGA2.2","estimate","0.134195"
"3367","nm7",72,"OMEGA2.2","prse",NA
"3368","nm7",72,"OMEGA2.2","se",NA
"3369","nm7",72,"OMEGA3.1","estimate","0"
"3370","nm7",72,"OMEGA3.1","prse",NA
"3371","nm7",72,"OMEGA3.1","se",NA
"3372","nm7",72,"OMEGA3.2","estimate","0"
"3373","nm7",72,"OMEGA3.2","prse",NA
"3374","nm7",72,"OMEGA3.2","se",NA
"3375","nm7",72,"OMEGA3.3","estimate","0.0729841"
"3376","nm7",72,"OMEGA3.3","prse",NA
"3377","nm7",72,"OMEGA3.3","se",NA
"3378","nm7",72,"SIGMA1.1","estimate","0.0666867"
"3379","nm7",72,"SIGMA1.1","prse",NA
"3380","nm7",72,"SIGMA1.1","se",NA
"3381","nm7",72,"cov","status","0"
"3382","nm7",72,"prob","text","72 phase1 2 CMT like 1004 but diff. initial on V3"
"3383","nm7",72,"min","status","0"
"3384","nm7",72,"data","filename","../data/72.csv"
"3385","nm7",73,"ofv","minimum","2028.92237221327"
"3386","nm7",73,"THETA1","estimate","8.74666"
"3387","nm7",73,"THETA1","prse",NA
"3388","nm7",73,"THETA1","se",NA
"3389","nm7",73,"THETA2","estimate","19.2337"
"3390","nm7",73,"THETA2","prse",NA
"3391","nm7",73,"THETA2","se",NA
"3392","nm7",73,"THETA3","estimate","0.062646"
"3393","nm7",73,"THETA3","prse",NA
"3394","nm7",73,"THETA3","se",NA
"3395","nm7",73,"THETA4","estimate","3.49878"
"3396","nm7",73,"THETA4","prse",NA
"3397","nm7",73,"THETA4","se",NA
"3398","nm7",73,"THETA5","estimate","86.472"
"3399","nm7",73,"THETA5","prse",NA
"3400","nm7",73,"THETA5","se",NA
"3401","nm7",73,"THETA6","estimate","1.09679"
"3402","nm7",73,"THETA6","prse",NA
"3403","nm7",73,"THETA6","se",NA
"3404","nm7",73,"THETA7","estimate","1.21081"
"3405","nm7",73,"THETA7","prse",NA
"3406","nm7",73,"THETA7","se",NA
"3407","nm7",73,"OMEGA1.1","estimate","0.184626"
"3408","nm7",73,"OMEGA1.1","prse",NA
"3409","nm7",73,"OMEGA1.1","se",NA
"3410","nm7",73,"OMEGA2.1","estimate","0"
"3411","nm7",73,"OMEGA2.1","prse",NA
"3412","nm7",73,"OMEGA2.1","se",NA
"3413","nm7",73,"OMEGA2.2","estimate","0.146395"
"3414","nm7",73,"OMEGA2.2","prse",NA
"3415","nm7",73,"OMEGA2.2","se",NA
"3416","nm7",73,"OMEGA3.1","estimate","0"
"3417","nm7",73,"OMEGA3.1","prse",NA
"3418","nm7",73,"OMEGA3.1","se",NA
"3419","nm7",73,"OMEGA3.2","estimate","0"
"3420","nm7",73,"OMEGA3.2","prse",NA
"3421","nm7",73,"OMEGA3.2","se",NA
"3422","nm7",73,"OMEGA3.3","estimate","0.123245"
"3423","nm7",73,"OMEGA3.3","prse",NA
"3424","nm7",73,"OMEGA3.3","se",NA
"3425","nm7",73,"SIGMA1.1","estimate","0.0811844"
"3426","nm7",73,"SIGMA1.1","prse",NA
"3427","nm7",73,"SIGMA1.1","se",NA
"3428","nm7",73,"cov","status","0"
"3429","nm7",73,"prob","text","73 phase1 2 CMT like 1004 but diff. initial on V3"
"3430","nm7",73,"min","status","0"
"3431","nm7",73,"data","filename","../data/73.csv"
"3432","nm7",74,"ofv","minimum","2371.27425068264"
"3433","nm7",74,"THETA1","estimate","8.91558"
"3434","nm7",74,"THETA1","prse",NA
"3435","nm7",74,"THETA1","se",NA
"3436","nm7",74,"THETA2","estimate","20.3884"
"3437","nm7",74,"THETA2","prse",NA
"3438","nm7",74,"THETA2","se",NA
"3439","nm7",74,"THETA3","estimate","0.0673712"
"3440","nm7",74,"THETA3","prse",NA
"3441","nm7",74,"THETA3","se",NA
"3442","nm7",74,"THETA4","estimate","4.00523"
"3443","nm7",74,"THETA4","prse",NA
"3444","nm7",74,"THETA4","se",NA
"3445","nm7",74,"THETA5","estimate","107.31"
"3446","nm7",74,"THETA5","prse",NA
"3447","nm7",74,"THETA5","se",NA
"3448","nm7",74,"THETA6","estimate","0.901372"
"3449","nm7",74,"THETA6","prse",NA
"3450","nm7",74,"THETA6","se",NA
"3451","nm7",74,"THETA7","estimate","1.76239"
"3452","nm7",74,"THETA7","prse",NA
"3453","nm7",74,"THETA7","se",NA
"3454","nm7",74,"OMEGA1.1","estimate","0.238635"
"3455","nm7",74,"OMEGA1.1","prse",NA
"3456","nm7",74,"OMEGA1.1","se",NA
"3457","nm7",74,"OMEGA2.1","estimate","0"
"3458","nm7",74,"OMEGA2.1","prse",NA
"3459","nm7",74,"OMEGA2.1","se",NA
"3460","nm7",74,"OMEGA2.2","estimate","0.144573"
"3461","nm7",74,"OMEGA2.2","prse",NA
"3462","nm7",74,"OMEGA2.2","se",NA
"3463","nm7",74,"OMEGA3.1","estimate","0"
"3464","nm7",74,"OMEGA3.1","prse",NA
"3465","nm7",74,"OMEGA3.1","se",NA
"3466","nm7",74,"OMEGA3.2","estimate","0"
"3467","nm7",74,"OMEGA3.2","prse",NA
"3468","nm7",74,"OMEGA3.2","se",NA
"3469","nm7",74,"OMEGA3.3","estimate","0.0995251"
"3470","nm7",74,"OMEGA3.3","prse",NA
"3471","nm7",74,"OMEGA3.3","se",NA
"3472","nm7",74,"SIGMA1.1","estimate","0.0740118"
"3473","nm7",74,"SIGMA1.1","prse",NA
"3474","nm7",74,"SIGMA1.1","se",NA
"3475","nm7",74,"cov","status","0"
"3476","nm7",74,"prob","text","74 phase1 2 CMT like 1004 but diff. initial on V3"
"3477","nm7",74,"min","status","0"
"3478","nm7",74,"data","filename","../data/74.csv"
"3479","nm7",75,"ofv","minimum","2548.17109984597"
"3480","nm7",75,"THETA1","estimate","8.85721"
"3481","nm7",75,"THETA1","prse",NA
"3482","nm7",75,"THETA1","se",NA
"3483","nm7",75,"THETA2","estimate","20.1406"
"3484","nm7",75,"THETA2","prse",NA
"3485","nm7",75,"THETA2","se",NA
"3486","nm7",75,"THETA3","estimate","0.0661691"
"3487","nm7",75,"THETA3","prse",NA
"3488","nm7",75,"THETA3","se",NA
"3489","nm7",75,"THETA4","estimate","3.76912"
"3490","nm7",75,"THETA4","prse",NA
"3491","nm7",75,"THETA4","se",NA
"3492","nm7",75,"THETA5","estimate","112.618"
"3493","nm7",75,"THETA5","prse",NA
"3494","nm7",75,"THETA5","se",NA
"3495","nm7",75,"THETA6","estimate","0.934508"
"3496","nm7",75,"THETA6","prse",NA
"3497","nm7",75,"THETA6","se",NA
"3498","nm7",75,"THETA7","estimate","2.0398"
"3499","nm7",75,"THETA7","prse",NA
"3500","nm7",75,"THETA7","se",NA
"3501","nm7",75,"OMEGA1.1","estimate","0.212334"
"3502","nm7",75,"OMEGA1.1","prse",NA
"3503","nm7",75,"OMEGA1.1","se",NA
"3504","nm7",75,"OMEGA2.1","estimate","0"
"3505","nm7",75,"OMEGA2.1","prse",NA
"3506","nm7",75,"OMEGA2.1","se",NA
"3507","nm7",75,"OMEGA2.2","estimate","0.111044"
"3508","nm7",75,"OMEGA2.2","prse",NA
"3509","nm7",75,"OMEGA2.2","se",NA
"3510","nm7",75,"OMEGA3.1","estimate","0"
"3511","nm7",75,"OMEGA3.1","prse",NA
"3512","nm7",75,"OMEGA3.1","se",NA
"3513","nm7",75,"OMEGA3.2","estimate","0"
"3514","nm7",75,"OMEGA3.2","prse",NA
"3515","nm7",75,"OMEGA3.2","se",NA
"3516","nm7",75,"OMEGA3.3","estimate","0.0805948"
"3517","nm7",75,"OMEGA3.3","prse",NA
"3518","nm7",75,"OMEGA3.3","se",NA
"3519","nm7",75,"SIGMA1.1","estimate","0.0796959"
"3520","nm7",75,"SIGMA1.1","prse",NA
"3521","nm7",75,"SIGMA1.1","se",NA
"3522","nm7",75,"cov","status","0"
"3523","nm7",75,"prob","text","75 phase1 2 CMT like 1004 but diff. initial on V3"
"3524","nm7",75,"min","status","0"
"3525","nm7",75,"data","filename","../data/75.csv"
"3526","nm7",76,"ofv","minimum","2070.69025345987"
"3527","nm7",76,"THETA1","estimate","10.1187"
"3528","nm7",76,"THETA1","prse",NA
"3529","nm7",76,"THETA1","se",NA
"3530","nm7",76,"THETA2","estimate","21.5072"
"3531","nm7",76,"THETA2","prse",NA
"3532","nm7",76,"THETA2","se",NA
"3533","nm7",76,"THETA3","estimate","0.0728705"
"3534","nm7",76,"THETA3","prse",NA
"3535","nm7",76,"THETA3","se",NA
"3536","nm7",76,"THETA4","estimate","4.01354"
"3537","nm7",76,"THETA4","prse",NA
"3538","nm7",76,"THETA4","se",NA
"3539","nm7",76,"THETA5","estimate","109.809"
"3540","nm7",76,"THETA5","prse",NA
"3541","nm7",76,"THETA5","se",NA
"3542","nm7",76,"THETA6","estimate","0.862553"
"3543","nm7",76,"THETA6","prse",NA
"3544","nm7",76,"THETA6","se",NA
"3545","nm7",76,"THETA7","estimate","1.34209"
"3546","nm7",76,"THETA7","prse",NA
"3547","nm7",76,"THETA7","se",NA
"3548","nm7",76,"OMEGA1.1","estimate","0.168056"
"3549","nm7",76,"OMEGA1.1","prse",NA
"3550","nm7",76,"OMEGA1.1","se",NA
"3551","nm7",76,"OMEGA2.1","estimate","0"
"3552","nm7",76,"OMEGA2.1","prse",NA
"3553","nm7",76,"OMEGA2.1","se",NA
"3554","nm7",76,"OMEGA2.2","estimate","0.113547"
"3555","nm7",76,"OMEGA2.2","prse",NA
"3556","nm7",76,"OMEGA2.2","se",NA
"3557","nm7",76,"OMEGA3.1","estimate","0"
"3558","nm7",76,"OMEGA3.1","prse",NA
"3559","nm7",76,"OMEGA3.1","se",NA
"3560","nm7",76,"OMEGA3.2","estimate","0"
"3561","nm7",76,"OMEGA3.2","prse",NA
"3562","nm7",76,"OMEGA3.2","se",NA
"3563","nm7",76,"OMEGA3.3","estimate","0.102677"
"3564","nm7",76,"OMEGA3.3","prse",NA
"3565","nm7",76,"OMEGA3.3","se",NA
"3566","nm7",76,"SIGMA1.1","estimate","0.0692259"
"3567","nm7",76,"SIGMA1.1","prse",NA
"3568","nm7",76,"SIGMA1.1","se",NA
"3569","nm7",76,"cov","status","0"
"3570","nm7",76,"prob","text","76 phase1 2 CMT like 1004 but diff. initial on V3"
"3571","nm7",76,"min","status","0"
"3572","nm7",76,"data","filename","../data/76.csv"
"3573","nm7",77,"ofv","minimum","2249.20015650174"
"3574","nm7",77,"THETA1","estimate","8.6731"
"3575","nm7",77,"THETA1","prse",NA
"3576","nm7",77,"THETA1","se",NA
"3577","nm7",77,"THETA2","estimate","22.6876"
"3578","nm7",77,"THETA2","prse",NA
"3579","nm7",77,"THETA2","se",NA
"3580","nm7",77,"THETA3","estimate","0.0611711"
"3581","nm7",77,"THETA3","prse",NA
"3582","nm7",77,"THETA3","se",NA
"3583","nm7",77,"THETA4","estimate","3.59388"
"3584","nm7",77,"THETA4","prse",NA
"3585","nm7",77,"THETA4","se",NA
"3586","nm7",77,"THETA5","estimate","131.726"
"3587","nm7",77,"THETA5","prse",NA
"3588","nm7",77,"THETA5","se",NA
"3589","nm7",77,"THETA6","estimate","1.33851"
"3590","nm7",77,"THETA6","prse",NA
"3591","nm7",77,"THETA6","se",NA
"3592","nm7",77,"THETA7","estimate","1.17229"
"3593","nm7",77,"THETA7","prse",NA
"3594","nm7",77,"THETA7","se",NA
"3595","nm7",77,"OMEGA1.1","estimate","0.193239"
"3596","nm7",77,"OMEGA1.1","prse",NA
"3597","nm7",77,"OMEGA1.1","se",NA
"3598","nm7",77,"OMEGA2.1","estimate","0"
"3599","nm7",77,"OMEGA2.1","prse",NA
"3600","nm7",77,"OMEGA2.1","se",NA
"3601","nm7",77,"OMEGA2.2","estimate","0.144131"
"3602","nm7",77,"OMEGA2.2","prse",NA
"3603","nm7",77,"OMEGA2.2","se",NA
"3604","nm7",77,"OMEGA3.1","estimate","0"
"3605","nm7",77,"OMEGA3.1","prse",NA
"3606","nm7",77,"OMEGA3.1","se",NA
"3607","nm7",77,"OMEGA3.2","estimate","0"
"3608","nm7",77,"OMEGA3.2","prse",NA
"3609","nm7",77,"OMEGA3.2","se",NA
"3610","nm7",77,"OMEGA3.3","estimate","0.136845"
"3611","nm7",77,"OMEGA3.3","prse",NA
"3612","nm7",77,"OMEGA3.3","se",NA
"3613","nm7",77,"SIGMA1.1","estimate","0.0688267"
"3614","nm7",77,"SIGMA1.1","prse",NA
"3615","nm7",77,"SIGMA1.1","se",NA
"3616","nm7",77,"cov","status","0"
"3617","nm7",77,"prob","text","77 phase1 2 CMT like 1004 but diff. initial on V3"
"3618","nm7",77,"min","status","0"
"3619","nm7",77,"data","filename","../data/77.csv"
"3620","nm7",78,"ofv","minimum","2729.56862194495"
"3621","nm7",78,"THETA1","estimate","9.99628"
"3622","nm7",78,"THETA1","prse",NA
"3623","nm7",78,"THETA1","se",NA
"3624","nm7",78,"THETA2","estimate","20.5137"
"3625","nm7",78,"THETA2","prse",NA
"3626","nm7",78,"THETA2","se",NA
"3627","nm7",78,"THETA3","estimate","0.0618849"
"3628","nm7",78,"THETA3","prse",NA
"3629","nm7",78,"THETA3","se",NA
"3630","nm7",78,"THETA4","estimate","3.48576"
"3631","nm7",78,"THETA4","prse",NA
"3632","nm7",78,"THETA4","se",NA
"3633","nm7",78,"THETA5","estimate","170.204"
"3634","nm7",78,"THETA5","prse",NA
"3635","nm7",78,"THETA5","se",NA
"3636","nm7",78,"THETA6","estimate","0.913393"
"3637","nm7",78,"THETA6","prse",NA
"3638","nm7",78,"THETA6","se",NA
"3639","nm7",78,"THETA7","estimate","1.18626"
"3640","nm7",78,"THETA7","prse",NA
"3641","nm7",78,"THETA7","se",NA
"3642","nm7",78,"OMEGA1.1","estimate","0.191872"
"3643","nm7",78,"OMEGA1.1","prse",NA
"3644","nm7",78,"OMEGA1.1","se",NA
"3645","nm7",78,"OMEGA2.1","estimate","0"
"3646","nm7",78,"OMEGA2.1","prse",NA
"3647","nm7",78,"OMEGA2.1","se",NA
"3648","nm7",78,"OMEGA2.2","estimate","0.127047"
"3649","nm7",78,"OMEGA2.2","prse",NA
"3650","nm7",78,"OMEGA2.2","se",NA
"3651","nm7",78,"OMEGA3.1","estimate","0"
"3652","nm7",78,"OMEGA3.1","prse",NA
"3653","nm7",78,"OMEGA3.1","se",NA
"3654","nm7",78,"OMEGA3.2","estimate","0"
"3655","nm7",78,"OMEGA3.2","prse",NA
"3656","nm7",78,"OMEGA3.2","se",NA
"3657","nm7",78,"OMEGA3.3","estimate","0.121863"
"3658","nm7",78,"OMEGA3.3","prse",NA
"3659","nm7",78,"OMEGA3.3","se",NA
"3660","nm7",78,"SIGMA1.1","estimate","0.0713573"
"3661","nm7",78,"SIGMA1.1","prse",NA
"3662","nm7",78,"SIGMA1.1","se",NA
"3663","nm7",78,"cov","status","0"
"3664","nm7",78,"prob","text","78 phase1 2 CMT like 1004 but diff. initial on V3"
"3665","nm7",78,"min","status","0"
"3666","nm7",78,"data","filename","../data/78.csv"
"3667","nm7",79,"ofv","minimum","2376.15018621566"
"3668","nm7",79,"THETA1","estimate","7.24914"
"3669","nm7",79,"THETA1","prse",NA
"3670","nm7",79,"THETA1","se",NA
"3671","nm7",79,"THETA2","estimate","21.7245"
"3672","nm7",79,"THETA2","prse",NA
"3673","nm7",79,"THETA2","se",NA
"3674","nm7",79,"THETA3","estimate","0.0638188"
"3675","nm7",79,"THETA3","prse",NA
"3676","nm7",79,"THETA3","se",NA
"3677","nm7",79,"THETA4","estimate","4.1092"
"3678","nm7",79,"THETA4","prse",NA
"3679","nm7",79,"THETA4","se",NA
"3680","nm7",79,"THETA5","estimate","143.552"
"3681","nm7",79,"THETA5","prse",NA
"3682","nm7",79,"THETA5","se",NA
"3683","nm7",79,"THETA6","estimate","0.990525"
"3684","nm7",79,"THETA6","prse",NA
"3685","nm7",79,"THETA6","se",NA
"3686","nm7",79,"THETA7","estimate","2.33528"
"3687","nm7",79,"THETA7","prse",NA
"3688","nm7",79,"THETA7","se",NA
"3689","nm7",79,"OMEGA1.1","estimate","0.19172"
"3690","nm7",79,"OMEGA1.1","prse",NA
"3691","nm7",79,"OMEGA1.1","se",NA
"3692","nm7",79,"OMEGA2.1","estimate","0"
"3693","nm7",79,"OMEGA2.1","prse",NA
"3694","nm7",79,"OMEGA2.1","se",NA
"3695","nm7",79,"OMEGA2.2","estimate","0.206727"
"3696","nm7",79,"OMEGA2.2","prse",NA
"3697","nm7",79,"OMEGA2.2","se",NA
"3698","nm7",79,"OMEGA3.1","estimate","0"
"3699","nm7",79,"OMEGA3.1","prse",NA
"3700","nm7",79,"OMEGA3.1","se",NA
"3701","nm7",79,"OMEGA3.2","estimate","0"
"3702","nm7",79,"OMEGA3.2","prse",NA
"3703","nm7",79,"OMEGA3.2","se",NA
"3704","nm7",79,"OMEGA3.3","estimate","0.169225"
"3705","nm7",79,"OMEGA3.3","prse",NA
"3706","nm7",79,"OMEGA3.3","se",NA
"3707","nm7",79,"SIGMA1.1","estimate","0.0789916"
"3708","nm7",79,"SIGMA1.1","prse",NA
"3709","nm7",79,"SIGMA1.1","se",NA
"3710","nm7",79,"cov","status","0"
"3711","nm7",79,"prob","text","79 phase1 2 CMT like 1004 but diff. initial on V3"
"3712","nm7",79,"min","status","0"
"3713","nm7",79,"data","filename","../data/79.csv"
"3714","nm7",80,"ofv","minimum","2489.82451664228"
"3715","nm7",80,"THETA1","estimate","8.88191"
"3716","nm7",80,"THETA1","prse",NA
"3717","nm7",80,"THETA1","se",NA
"3718","nm7",80,"THETA2","estimate","21.7055"
"3719","nm7",80,"THETA2","prse",NA
"3720","nm7",80,"THETA2","se",NA
"3721","nm7",80,"THETA3","estimate","0.0595516"
"3722","nm7",80,"THETA3","prse",NA
"3723","nm7",80,"THETA3","se",NA
"3724","nm7",80,"THETA4","estimate","2.95672"
"3725","nm7",80,"THETA4","prse",NA
"3726","nm7",80,"THETA4","se",NA
"3727","nm7",80,"THETA5","estimate","104.334"
"3728","nm7",80,"THETA5","prse",NA
"3729","nm7",80,"THETA5","se",NA
"3730","nm7",80,"THETA6","estimate","1.23906"
"3731","nm7",80,"THETA6","prse",NA
"3732","nm7",80,"THETA6","se",NA
"3733","nm7",80,"THETA7","estimate","1.72786"
"3734","nm7",80,"THETA7","prse",NA
"3735","nm7",80,"THETA7","se",NA
"3736","nm7",80,"OMEGA1.1","estimate","0.176041"
"3737","nm7",80,"OMEGA1.1","prse",NA
"3738","nm7",80,"OMEGA1.1","se",NA
"3739","nm7",80,"OMEGA2.1","estimate","0"
"3740","nm7",80,"OMEGA2.1","prse",NA
"3741","nm7",80,"OMEGA2.1","se",NA
"3742","nm7",80,"OMEGA2.2","estimate","0.206193"
"3743","nm7",80,"OMEGA2.2","prse",NA
"3744","nm7",80,"OMEGA2.2","se",NA
"3745","nm7",80,"OMEGA3.1","estimate","0"
"3746","nm7",80,"OMEGA3.1","prse",NA
"3747","nm7",80,"OMEGA3.1","se",NA
"3748","nm7",80,"OMEGA3.2","estimate","0"
"3749","nm7",80,"OMEGA3.2","prse",NA
"3750","nm7",80,"OMEGA3.2","se",NA
"3751","nm7",80,"OMEGA3.3","estimate","0.106845"
"3752","nm7",80,"OMEGA3.3","prse",NA
"3753","nm7",80,"OMEGA3.3","se",NA
"3754","nm7",80,"SIGMA1.1","estimate","0.0783571"
"3755","nm7",80,"SIGMA1.1","prse",NA
"3756","nm7",80,"SIGMA1.1","se",NA
"3757","nm7",80,"cov","status","0"
"3758","nm7",80,"prob","text","80 phase1 2 CMT like 1004 but diff. initial on V3"
"3759","nm7",80,"min","status","0"
"3760","nm7",80,"data","filename","../data/80.csv"
"3761","nm7",81,"ofv","minimum","3191.24872098437"
"3762","nm7",81,"THETA1","estimate","7.57373"
"3763","nm7",81,"THETA1","prse",NA
"3764","nm7",81,"THETA1","se",NA
"3765","nm7",81,"THETA2","estimate","23.4852"
"3766","nm7",81,"THETA2","prse",NA
"3767","nm7",81,"THETA2","se",NA
"3768","nm7",81,"THETA3","estimate","0.0804462"
"3769","nm7",81,"THETA3","prse",NA
"3770","nm7",81,"THETA3","se",NA
"3771","nm7",81,"THETA4","estimate","4.72617"
"3772","nm7",81,"THETA4","prse",NA
"3773","nm7",81,"THETA4","se",NA
"3774","nm7",81,"THETA5","estimate","94.396"
"3775","nm7",81,"THETA5","prse",NA
"3776","nm7",81,"THETA5","se",NA
"3777","nm7",81,"THETA6","estimate","1.04687"
"3778","nm7",81,"THETA6","prse",NA
"3779","nm7",81,"THETA6","se",NA
"3780","nm7",81,"THETA7","estimate","2.0038"
"3781","nm7",81,"THETA7","prse",NA
"3782","nm7",81,"THETA7","se",NA
"3783","nm7",81,"OMEGA1.1","estimate","0.163013"
"3784","nm7",81,"OMEGA1.1","prse",NA
"3785","nm7",81,"OMEGA1.1","se",NA
"3786","nm7",81,"OMEGA2.1","estimate","0"
"3787","nm7",81,"OMEGA2.1","prse",NA
"3788","nm7",81,"OMEGA2.1","se",NA
"3789","nm7",81,"OMEGA2.2","estimate","0.108082"
"3790","nm7",81,"OMEGA2.2","prse",NA
"3791","nm7",81,"OMEGA2.2","se",NA
"3792","nm7",81,"OMEGA3.1","estimate","0"
"3793","nm7",81,"OMEGA3.1","prse",NA
"3794","nm7",81,"OMEGA3.1","se",NA
"3795","nm7",81,"OMEGA3.2","estimate","0"
"3796","nm7",81,"OMEGA3.2","prse",NA
"3797","nm7",81,"OMEGA3.2","se",NA
"3798","nm7",81,"OMEGA3.3","estimate","0.0927782"
"3799","nm7",81,"OMEGA3.3","prse",NA
"3800","nm7",81,"OMEGA3.3","se",NA
"3801","nm7",81,"SIGMA1.1","estimate","0.0575136"
"3802","nm7",81,"SIGMA1.1","prse",NA
"3803","nm7",81,"SIGMA1.1","se",NA
"3804","nm7",81,"cov","status","0"
"3805","nm7",81,"prob","text","81 phase1 2 CMT like 1004 but diff. initial on V3"
"3806","nm7",81,"min","status","0"
"3807","nm7",81,"data","filename","../data/81.csv"
"3808","nm7",82,"ofv","minimum","2512.14890321114"
"3809","nm7",82,"THETA1","estimate","8.69325"
"3810","nm7",82,"THETA1","prse",NA
"3811","nm7",82,"THETA1","se",NA
"3812","nm7",82,"THETA2","estimate","21.428"
"3813","nm7",82,"THETA2","prse",NA
"3814","nm7",82,"THETA2","se",NA
"3815","nm7",82,"THETA3","estimate","0.0677129"
"3816","nm7",82,"THETA3","prse",NA
"3817","nm7",82,"THETA3","se",NA
"3818","nm7",82,"THETA4","estimate","3.32538"
"3819","nm7",82,"THETA4","prse",NA
"3820","nm7",82,"THETA4","se",NA
"3821","nm7",82,"THETA5","estimate","97.0444"
"3822","nm7",82,"THETA5","prse",NA
"3823","nm7",82,"THETA5","se",NA
"3824","nm7",82,"THETA6","estimate","0.927269"
"3825","nm7",82,"THETA6","prse",NA
"3826","nm7",82,"THETA6","se",NA
